fid,pe_ubigeo,IDCCPP02,NOMBPV02,NOMBDI02,CODCCPP02,NOMCCPP02,CLASIF02,TOT_POB99,TOT_VIV99,CATCCPP02,NOMCAT02,X_COORD,Y_COORD
1,100105,1001050067,HUANUCO,MARGOS,67,RACCHAPAMPA,RURAL,227,45,5,CASERIO,-76.56193,-10.04941
2,100105,1001050069,HUANUCO,MARGOS,69,UCHUSH,RURAL,227,45,6,ANEXO,-76.5266,-10.04665
3,100105,1001050045,HUANUCO,MARGOS,45,HUILCAHUARI,RURAL,152,30,5,CASERIO,-76.55051,-10.02132
4,100105,1001050046,HUANUCO,MARGOS,46,CULCUSH,RURAL,77,15,6,ANEXO,-76.53383,-10.02864
5,100105,1001050037,HUANUCO,MARGOS,37,TOCANA,RURAL,97,20,5,CASERIO,-76.57802,-10.00962
6,100701,1007010004,MARAÑON,HUACRACHUCO,4,PARACAY,RURAL,350,80,6,ANEXO,-77.19547,-8.50265
7,101006,1010060040,LAURICOCHA,SAN FRANCISCO DE ASIS,40,PARIESH,RURAL,250,52,5,CASERIO,-76.66918,-10.01624
8,101005,1010050114,LAURICOCHA,RONDOS,114,ICHIMARCAN,RURAL,90,15,8,UNID.AGROPECUARIA,-76.72198,-10.0246
9,101005,1010050106,LAURICOCHA,RONDOS,106,HUACARCOCHA,RURAL,600,80,15,OTROS,-76.72852,-10.01686
10,101005,1010050109,LAURICOCHA,RONDOS,109,SAN PEDRO,RURAL,400,56,5,CASERIO,-76.70215,-10.01608
11,101005,1010050100,LAURICOCHA,RONDOS,100,PUMAHUAYIN,RURAL,80,12,8,UNID.AGROPECUARIA,-76.7295,-10.01189
12,101005,1010050097,LAURICOCHA,RONDOS,97,HUAYCHOS,RURAL,80,13,8,UNID.AGROPECUARIA,-76.7039,-10.00855
13,101005,1010050099,LAURICOCHA,RONDOS,99,GOYORPAMPA,RURAL,50,8,8,UNID.AGROPECUARIA,-76.70662,-10.01258
14,101003,1010030059,LAURICOCHA,JIVIA,59,YACUMALI,RURAL,125,25,5,CASERIO,-76.64086,-10.04517
15,101003,1010030060,LAURICOCHA,JIVIA,60,MACAS,RURAL,165,33,5,CASERIO,-76.62377,-10.03964
16,101003,1010030052,LAURICOCHA,JIVIA,52,PACAL,RURAL,55,11,15,OTROS,-76.67126,-10.04282
17,101003,1010030053,LAURICOCHA,JIVIA,53,QUINCHAS,RURAL,103,20,15,OTROS,-76.65614,-10.039
18,101003,1010030032,LAURICOCHA,JIVIA,32,HUAMPON,RURAL,56,10,5,CASERIO,-76.69778,-10.03834
19,101003,1010030026,LAURICOCHA,JIVIA,26,SHUQUIL,RURAL,122,24,5,CASERIO,-76.66176,-10.03149
